objectid,Station ID,Station Name,Station ID DOMO,Has Kiosk,Dock Count,Station Latitude,Station Longitude,Region_ID,shape,supervisor_district,analysis_neighborhood,data_loaded_at,data_as_of
98,86,Market St at Dolores St,SF-L21,true,19,37.769244,-122.4269645,3,POINT (-122.4269645 37.769244),8,Castro/Upper Market,01/18/2024 03:30:44 PM,01/18/2024 03:28:35 PM
100,95,Sanchez St at 15th St,SF-M20,true,27,37.7662185,-122.4310597,3,POINT (-122.4310597 37.7662185),8,Castro/Upper Market,01/18/2024 03:30:44 PM,01/18/2024 03:28:35 PM
101,107,17th St at Dolores St,SF-N21,true,23,37.7630152,-122.4264968,3,POINT (-122.4264968 37.7630152),8,Castro/Upper Market,01/18/2024 03:30:44 PM,01/18/2024 03:28:35 PM
108,120,Mission Dolores Park,SF-O21,true,27,37.7614205,-122.4264353,3,POINT (-122.4264353 37.7614205),8,Castro/Upper Market,01/18/2024 03:30:44 PM,01/18/2024 03:28:35 PM
305,381,20th St at Dolores St,SF-P21,true,27,37.75823842,-122.42609382,3,POINT (-122.426093817 37.758238424),8,Castro/Upper Market,01/18/2024 03:30:44 PM,01/18/2024 03:28:35 PM
126,141,Valencia St at Cesar Chavez St,SF-S22-1,true,19,37.7479981,-122.4202187,3,POINT (-122.4202187 37.7479981),9,Bernal Heights,01/18/2024 03:30:44 PM,01/18/2024 03:28:35 PM
135,146,30th St at San Jose Ave,SF-T21,true,15,37.7423139,-122.4231805,3,POINT (-122.4231805 37.7423139),9,Bernal Heights,01/18/2024 03:30:44 PM,01/18/2024 03:28:35 PM
140,147,29th St at Tiffany Ave,SF-T22,true,19,37.7440667,-122.4214722,3,POINT (-122.4214722 37.7440667),9,Bernal Heights,01/18/2024 03:30:44 PM,01/18/2024 03:28:35 PM
155,144,Precita Park,SF-S24,true,15,37.7472996,-122.4114029,3,POINT (-122.4114029 37.7472996),9,Bernal Heights,01/18/2024 03:30:44 PM,01/18/2024 03:28:35 PM
290,390,Indiana St at Cesar Chavez St,SF-S29,true,15,37.75043436,-122.39044726,3,POINT (-122.390447259 37.750434357),10,Bayview Hunters Point,01/18/2024 03:30:44 PM,01/18/2024 03:28:35 PM
291,362,Lane St at Revere Ave,SF-X30,true,19,37.73172669,-122.39005566,3,POINT (-122.390055656 37.731726694),10,Bayview Hunters Point,01/18/2024 03:30:44 PM,01/18/2024 03:28:35 PM
299,358,Williams Ave at 3rd St,SF-Y29,true,19,37.72927865,-122.39289612,3,POINT (-122.392896116 37.729278652),10,Bayview Hunters Point,01/18/2024 03:30:44 PM,01/18/2024 03:28:35 PM
308,361,Mendell St at Fairfax Ave,SF-V30,true,19,37.73985302,-122.38565549,3,POINT (-122.385655493 37.739853018),10,Bayview Hunters Point,01/18/2024 03:30:44 PM,01/18/2024 03:28:35 PM
330,359,Williams Ave at Apollo St,SF-Y27,true,15,37.730078999999996,-122.3988045,3,POINT (-122.3988045 37.730079),10,Bayview Hunters Point,01/18/2024 03:30:44 PM,01/18/2024 03:28:35 PM
336,360,Jerrold Ave at 3rd St,SF-V29,true,19,37.73890064,-122.38952458,3,POINT (-122.389524579 37.738900644),10,Bayview Hunters Point,01/18/2024 03:30:44 PM,01/18/2024 03:28:35 PM
342,434,Carroll Ave at 3rd St,SF-Z28,true,23,37.72537519,-122.39401996,3,POINT (-122.394019961 37.725375194),10,Bayview Hunters Point,01/18/2024 03:30:44 PM,01/18/2024 03:28:35 PM
343,410,Illinois St at Cesar Chavez St,SF-S30,true,19,37.7501075,-122.3865015,3,POINT (-122.3865015 37.7501075),10,Bayview Hunters Point,01/18/2024 03:30:44 PM,01/18/2024 03:28:35 PM
358,432,Quesada Ave at 3rd St,SF-X29,true,19,37.73309281,-122.39097297,3,POINT (-122.390972972 37.73309281),10,Bayview Hunters Point,01/18/2024 03:30:44 PM,01/18/2024 03:28:35 PM
375,435,Jennings St at Revere Ave,SF-Y30,true,19,37.72939321,-122.3865366,3,POINT (-122.386536598 37.729393207),10,Bayview Hunters Point,01/18/2024 03:30:44 PM,01/18/2024 03:28:35 PM
379,437,Evans Ave at Mendell St,SF-V31,true,15,37.740048,-122.3834355,3,POINT (-122.3834355 37.740048),10,Bayview Hunters Point,01/18/2024 03:30:44 PM,01/18/2024 03:28:35 PM
381,436,McKinnon Ave at 3rd St,SF-W29,true,23,37.73629587,-122.38996983,3,POINT (-122.389969826 37.736295872),10,Bayview Hunters Point,01/18/2024 03:30:44 PM,01/18/2024 03:28:35 PM
386,438,Oakdale Ave at Phelps St,SF-V28,true,19,37.7370395,-122.3944985,3,POINT (-122.3944985 37.7370395),10,Bayview Hunters Point,01/18/2024 03:30:44 PM,01/18/2024 03:28:35 PM
387,463,Heron's Head Park,SF-V32,true,27,37.74032178,-122.37678409,3,POINT (-122.376784086 37.740321776),10,Bayview Hunters Point,01/18/2024 03:30:44 PM,01/18/2024 03:28:35 PM
413,488,Egbert Ave at Jennings St,SF-AA28,true,19,37.72262992,-122.39249647,3,POINT (-122.392496467 37.722629922),10,Bayview Hunters Point,01/18/2024 03:30:44 PM,01/18/2024 03:28:35 PM
454,509,Evans Ave at Newhall St,SF-U30,true,19,37.742232,-122.386843,3,POINT (-122.386843 37.742232),10,Bayview Hunters Point,01/18/2024 03:30:44 PM,01/18/2024 03:28:35 PM
6,35,Cahill Park,SJ-M6,true,23,37.32911867,-121.90457582,5,POINT (-121.904575825 37.329118668),,,01/18/2024 03:30:44 PM,01/18/2024 03:28:35 PM
28,18,Telegraph Ave at Alcatraz Ave,OK-A2,true,11,37.85022187,-122.26017237,12,POINT (-122.260172367 37.850221874),,,01/18/2024 03:30:44 PM,01/18/2024 03:28:35 PM
30,7,Frank H Ogawa Plaza,OK-L5,true,35,37.80456235,-122.27173805,12,POINT (-122.271738052 37.804562355),,,01/18/2024 03:30:44 PM,01/18/2024 03:28:35 PM
60,46,San Antonio Park,OK-L12,true,15,37.79013985,-122.24237323,12,POINT (-122.242373228 37.790139852),,,01/18/2024 03:30:44 PM,01/18/2024 03:28:35 PM
114,153,59th St at Horton St,EM-A1,true,19,37.8409452,-122.2913604,13,POINT (-122.2913604 37.8409452),,,01/18/2024 03:30:44 PM,01/18/2024 03:28:35 PM
115,174,52nd St at MLK Jr Way,OK-D3-2,true,23,37.837368999999995,-122.267656,12,POINT (-122.267656 37.837369),,,01/18/2024 03:30:44 PM,01/18/2024 03:28:35 PM
116,148,Horton St at 40th St,EM-D2,true,23,37.8297046,-122.2876102,13,POINT (-122.2876102 37.8297046),,,01/18/2024 03:30:44 PM,01/18/2024 03:28:35 PM
117,164,Isabella St at San Pablo Ave,OK-J4,true,19,37.81498823,-122.27484405,12,POINT (-122.27484405 37.81498823),,,01/18/2024 03:30:44 PM,01/18/2024 03:28:35 PM
118,150,Adeline St at 40th St,EM-D4,true,15,37.8312769,-122.2782669,13,POINT (-122.2782669 37.8312769),,,01/18/2024 03:30:44 PM,01/18/2024 03:28:35 PM
121,155,Emeryville Public Market,EM-B1,true,19,37.84052117,-122.29352832,13,POINT (-122.293528318 37.840521167),,,01/18/2024 03:30:44 PM,01/18/2024 03:28:35 PM
123,156,Stanford Ave at Hollis St,EM-B2,true,15,37.8384435,-122.2886647,13,POINT (-122.2886647 37.8384435),,,01/18/2024 03:30:44 PM,01/18/2024 03:28:35 PM
128,159,24th St at Market St,OK-J3,true,19,37.8160598,-122.2782444,12,POINT (-122.2782444 37.8160598),,,01/18/2024 03:30:44 PM,01/18/2024 03:28:35 PM
129,158,Shattuck Ave at Telegraph Ave,OK-E4,true,19,37.8332786,-122.2634901,12,POINT (-122.2634901 37.8332786),,,01/18/2024 03:30:44 PM,01/18/2024 03:28:35 PM
130,173,Shattuck Ave at 55th St,OK-D3-1,true,15,37.8403643,-122.2644881,12,POINT (-122.2644881 37.8403643),,,01/18/2024 03:30:44 PM,01/18/2024 03:28:35 PM
134,182,19th Street BART Station,OK-K5-2,true,31,37.80936861,-122.26795077,12,POINT (-122.267950773 37.809368612),,,01/18/2024 03:30:44 PM,01/18/2024 03:28:35 PM
136,180,Telegraph Ave at 23rd St,OK-J5,true,19,37.8126783,-122.2687726,12,POINT (-122.2687726 37.8126783),,,01/18/2024 03:30:44 PM,01/18/2024 03:28:35 PM
144,163,Lake Merritt BART Station,OK-M7,true,27,37.7973195,-122.2653199,12,POINT (-122.2653199 37.7973195),,,01/18/2024 03:30:44 PM,01/18/2024 03:28:35 PM
151,149,Emeryville Town Hall,EM-D3,true,23,37.8312752,-122.2856333,13,POINT (-122.2856333 37.8312752),,,01/18/2024 03:30:44 PM,01/18/2024 03:28:35 PM
156,175,Telegraph Ave at 49th St,OK-D4,true,15,37.83575,-122.262654,12,POINT (-122.262654 37.83575),,,01/18/2024 03:30:44 PM,01/18/2024 03:28:35 PM
157,167,College Ave at Harwood Ave,OK-A4,true,19,37.848152,-122.2521599,12,POINT (-122.2521599 37.848152),,,01/18/2024 03:30:44 PM,01/18/2024 03:28:35 PM
122,172,College Ave at Taft Ave,OK-B5,true,15,37.8417999,-122.2515349,12,POINT (-122.2515349 37.8417999),,,01/18/2024 03:30:44 PM,01/18/2024 03:28:35 PM
131,168,Alcatraz Ave at Shattuck Ave,OK-B1,true,0,37.84959497,-122.26556897,12,POINT (-122.265568972 37.849594968),,,01/18/2024 03:30:44 PM,01/18/2024 03:28:35 PM
143,177,MacArthur Blvd at Telegraph Ave,OK-G4,true,0,37.8262863,-122.2651002,12,POINT (-122.2651002 37.8262863),,,01/18/2024 03:30:44 PM,01/18/2024 03:28:35 PM
146,171,Rockridge BART Station,OK-B4,true,24,37.84427875,-122.25190043,12,POINT (-122.251900434 37.844278754),,,01/18/2024 03:30:44 PM,01/18/2024 03:28:35 PM
153,181,Grand Ave at Webster St,OK-J6-1,true,27,37.8113768,-122.2651925,12,POINT (-122.2651925 37.8113768),,,01/18/2024 03:30:44 PM,01/18/2024 03:28:35 PM
147,151,53rd St at Hollis St,EM-C2,true,23,37.8361823,-122.2871801,13,POINT (-122.2871801 37.8361823),,,01/18/2024 03:30:44 PM,01/18/2024 03:28:35 PM
