"GEO_ID","NAME","B01003_001E","B01003_001M",
"Geography","Geographic Area Name","Estimate!!Total","Margin of Error!!Total",
"1500000US060750167002","Block Group 2; Census Tract 167; San Francisco County; California","794","320",
"1500000US060750167003","Block Group 3; Census Tract 167; San Francisco County; California","1318","610",
"1500000US060750167004","Block Group 4; Census Tract 167; San Francisco County; California","1387","448",
"1500000US060750168011","Block Group 1; Census Tract 168.01; San Francisco County; California","1248","332",
"1500000US060750168012","Block Group 2; Census Tract 168.01; San Francisco County; California","1103","348",
"1500000US060750168013","Block Group 3; Census Tract 168.01; San Francisco County; California","1547","363",
"1500000US060750168021","Block Group 1; Census Tract 168.02; San Francisco County; California","1083","278",
"1500000US060750168022","Block Group 2; Census Tract 168.02; San Francisco County; California","1249","320",
"1500000US060750168023","Block Group 3; Census Tract 168.02; San Francisco County; California","1475","629",
"1500000US060750169001","Block Group 1; Census Tract 169; San Francisco County; California","1348","432",
"1500000US060750169002","Block Group 2; Census Tract 169; San Francisco County; California","829","157",
"1500000US060750169003","Block Group 3; Census Tract 169; San Francisco County; California","884","224",
"1500000US060750170001","Block Group 1; Census Tract 170; San Francisco County; California","876","217",
"1500000US060750170002","Block Group 2; Census Tract 170; San Francisco County; California","846","399",
"1500000US060750170003","Block Group 3; Census Tract 170; San Francisco County; California","1404","275",
"1500000US060750170004","Block Group 4; Census Tract 170; San Francisco County; California","1136","454",
"1500000US060750171011","Block Group 1; Census Tract 171.01; San Francisco County; California","1434","257",
"1500000US060750171012","Block Group 2; Census Tract 171.01; San Francisco County; California","1373","371",
"1500000US060750171013","Block Group 3; Census Tract 171.01; San Francisco County; California","1443","481",
"1500000US060750171021","Block Group 1; Census Tract 171.02; San Francisco County; California","1255","279",
"1500000US060750171022","Block Group 2; Census Tract 171.02; San Francisco County; California","817","299",
"1500000US060750171023","Block Group 3; Census Tract 171.02; San Francisco County; California","1574","357",
"1500000US060750176021","Block Group 1; Census Tract 176.02; San Francisco County; California","1655","843",
"1500000US060750176022","Block Group 2; Census Tract 176.02; San Francisco County; California","1058","316",
"1500000US060750176023","Block Group 3; Census Tract 176.02; San Francisco County; California","486","294",
"1500000US060750176031","Block Group 1; Census Tract 176.03; San Francisco County; California","1014","503",
"1500000US060750176032","Block Group 2; Census Tract 176.03; San Francisco County; California","715","481",
"1500000US060750176033","Block Group 3; Census Tract 176.03; San Francisco County; California","963","452",
"1500000US060750176034","Block Group 4; Census Tract 176.03; San Francisco County; California","2123","641",
"1500000US060750176041","Block Group 1; Census Tract 176.04; San Francisco County; California","1218","450",
"1500000US060750176042","Block Group 2; Census Tract 176.04; San Francisco County; California","1119","439",
"1500000US060750176043","Block Group 3; Census Tract 176.04; San Francisco County; California","809","371",
"1500000US060750177001","Block Group 1; Census Tract 177; San Francisco County; California","489","179",
"1500000US060750177002","Block Group 2; Census Tract 177; San Francisco County; California","1591","355",
"1500000US060750178011","Block Group 1; Census Tract 178.01; San Francisco County; California","1126","277",
"1500000US060750178012","Block Group 2; Census Tract 178.01; San Francisco County; California","1413","397",
"1500000US060750178013","Block Group 3; Census Tract 178.01; San Francisco County; California","1043","235",
"1500000US060750178031","Block Group 1; Census Tract 178.03; San Francisco County; California","1099","372",
"1500000US060750178032","Block Group 2; Census Tract 178.03; San Francisco County; California","1424","497",
"1500000US060750178041","Block Group 1; Census Tract 178.04; San Francisco County; California","1503","424",
"1500000US060750178042","Block Group 2; Census Tract 178.04; San Francisco County; California","1032","421",
"1500000US060750178043","Block Group 3; Census Tract 178.04; San Francisco County; California","422","214",
"1500000US060750178044","Block Group 4; Census Tract 178.04; San Francisco County; California","525","306",
"1500000US060750179031","Block Group 1; Census Tract 179.03; San Francisco County; California","3136","466",
"1500000US060750179032","Block Group 2; Census Tract 179.03; San Francisco County; California","0","13",
"1500000US060750180001","Block Group 1; Census Tract 180; San Francisco County; California","947","437",
"1500000US060750180002","Block Group 2; Census Tract 180; San Francisco County; California","1068","370",
"1500000US060750180003","Block Group 3; Census Tract 180; San Francisco County; California","881","299",
"1500000US060750180004","Block Group 4; Census Tract 180; San Francisco County; California","878","371",
"1500000US060750201011","Block Group 1; Census Tract 201.01; San Francisco County; California","1851","378",
